ax,ay,az,gx,gy,gz,label
-0.25,0.94,-0.19,11.24,5.52,1.21,good
-0.22,0.98,-0.22,1.82,3.33,0.28,good
-0.24,0.97,-0.23,3.54,5.28,2.77,good
-0.22,0.98,-0.2,-7.87,0.84,-2.34,good
-0.24,0.98,-0.17,-1.99,-0.21,-2.48,good
-0.26,0.96,-0.14,4.66,1.9,0.6,good
-0.23,0.97,-0.2,1.41,0.32,0.07,good
-0.23,0.97,-0.19,-7.31,-1.02,-3.02,good
-0.26,0.94,-0.15,-0.6,0.37,-0.69,good
-0.25,0.96,-0.18,3.56,2.71,0.35,good
-0.26,0.96,-0.17,4.73,2.11,0.65,good
-0.26,0.97,-0.19,3.34,3.14,-0.48,good
-0.26,0.96,-0.2,2.86,1.9,0.05,good
-0.25,0.96,-0.2,2.15,2.79,0.36,good
-0.25,0.98,-0.19,15.15,3.53,2.57,good
-0.24,0.96,-0.24,4.22,4.26,4.1,good
-0.22,0.98,-0.24,1.74,2.24,1.47,good
-0.21,0.99,-0.24,1.75,2.22,0.6,good
-0.24,0.98,-0.24,-2.21,-0.62,-1.0,good
-0.25,0.96,-0.21,1.49,1.94,1.39,good
-0.24,0.97,-0.22,-5.04,2.1,-2.87,good
-0.25,0.96,-0.18,-2.86,-2.89,-2.16,good
-0.26,0.96,-0.18,2.35,2.98,-0.18,good
-0.26,0.96,-0.22,6.44,-1.56,-0.5,good
-0.27,0.96,-0.2,1.66,1.73,0.73,good
-0.23,0.98,-0.2,2.53,0.69,-0.54,good
-0.26,0.96,-0.19,-0.93,0.16,-1.15,good
-0.26,0.96,-0.18,2.79,2.55,0.45,good
-0.26,0.98,-0.18,2.48,3.73,0.56,good
-0.27,0.98,-0.18,4.85,1.72,3.51,good
-0.24,1.0,-0.18,5.19,5.7,4.47,good
-0.22,0.99,-0.22,3.95,2.68,1.13,good
-0.23,0.97,-0.21,5.03,4.7,1.68,good
-0.21,0.97,-0.25,16.15,7.6,1.28,good
-0.21,0.96,-0.31,-2.99,-0.59,-2.09,good
-0.23,0.96,-0.23,-4.1,1.08,-2.02,good
-0.24,0.96,-0.21,0.11,3.45,0.94,good
-0.23,0.98,-0.26,5.27,7.09,2.06,good
-0.21,0.97,-0.27,5.61,5.76,1.95,good
-0.2,0.97,-0.28,4.6,5.89,1.39,good
-0.2,0.98,-0.33,1.27,-0.37,-0.73,good
-0.2,0.99,-0.3,-7.01,-8.76,-6.5,good
-0.24,0.98,-0.24,-3.03,-3.71,-3.15,good
-0.25,0.98,-0.22,0.6,-2.44,-1.32,good
-0.25,0.98,-0.23,-4.64,-7.92,-1.05,good
-0.26,0.96,-0.17,-3.44,-3.33,-1.45,good
-0.27,0.97,-0.19,1.33,2.65,-0.07,good
-0.24,0.94,-0.19,2.09,0.38,0.2,good
-0.24,0.95,-0.18,3.17,1.02,0.33,good
-0.26,0.97,-0.2,3.74,4.13,2.59,good
-0.25,0.97,-0.2,0.73,1.34,0.11,good
-0.26,0.98,-0.19,1.78,2.21,-1.25,good
-0.26,0.98,-0.19,1.02,1.82,-1.11,good
-0.26,0.97,-0.21,2.51,1.38,0.05,good
-0.25,0.97,-0.21,3.23,2.47,0.43,good
-0.26,0.97,-0.2,1.26,1.73,0.54,good
-0.26,0.97,-0.2,1.89,2.73,0.5,good
-0.24,0.97,-0.2,3.64,3.55,-1.15,good
-0.24,0.97,-0.22,2.27,1.81,2.14,good
-0.25,0.97,-0.21,2.16,3.37,0.57,good
-0.26,0.96,-0.21,4.31,4.0,0.48,good
-0.26,0.96,-0.23,6.89,3.12,0.64,good
-0.23,0.97,-0.26,9.57,2.31,0.9,good
-0.24,0.96,-0.28,3.02,5.76,1.5,good
-0.24,0.96,-0.29,2.17,2.57,0.05,good
-0.24,0.96,-0.3,1.59,0.56,0.38,good
-0.23,0.97,-0.29,0.63,1.47,-0.75,good
-0.25,0.97,-0.28,0.01,1.16,-0.26,good
-0.25,0.98,-0.27,-0.34,1.95,-0.13,good
-0.26,0.96,-0.25,-2.59,-0.77,-0.58,good
-0.26,0.96,-0.24,3.84,3.6,1.43,good
-0.23,0.94,-0.29,0.42,-2.53,1.66,good
-0.23,0.96,-0.29,2.69,2.1,3.21,good
-0.24,0.96,-0.28,0.91,2.87,0.56,good
-0.21,0.97,-0.27,-0.44,-1.8,-0.66,good
-0.23,0.96,-0.24,-0.84,-1.34,-0.8,good
-0.25,0.97,-0.21,-3.74,-3.59,-3.06,good
-0.26,0.96,-0.21,-1.62,4.01,-0.63,good
-0.26,0.97,-0.2,-6.48,-1.12,-0.41,good
-0.27,0.96,-0.19,-2.66,-1.89,-0.29,good
-0.26,0.96,-0.16,3.42,1.55,0.46,good
-0.26,0.97,-0.18,3.93,3.66,-0.01,good
